"","repo_name","num_events","num_actors","total_events","total_actors","events_per_actor","type","num_repo_events","num_repo_actors","repo_events_per_actor","participation_rate"
"494","manishiitg/excellence_magento_blog",2,1,58,53,1.09434,"IssuesEvent",58,53,1.09434,0
"495","mac-cain13/xdebug-helper-for-chrome",19,11,112,54,2.07407,"IssuesEvent",112,54,2.07407,0
"496","sisoputnfrba/so-commons-library",35,8,84,22,3.81818,"IssueCommentEvent",84,22,3.81818,0
"497","manishiitg/excellence_magento_blog",1,1,58,53,1.09434,"IssueCommentEvent",58,53,1.09434,0
"498","mysensors/MySensors",3,2,2580,234,11.02564,"CommitCommentEvent",2580,234,11.02564,0
"499","anand80/HelloCode",185,184,200,186,1.07527,"ForkEvent",200,186,1.07527,0
"500","nicolewhite/algebra.js",12,1,132,64,2.0625,"PushEvent",132,64,2.0625,0
"501","zzz40500/Tinker_imitator",21,1,964,867,1.11188,"PushEvent",964,867,1.11188,0
"502","sarbian/ModuleManager",14,14,80,35,2.28571,"WatchEvent",80,35,2.28571,0
"503","hjiang/jsonxx",1,1,48,31,1.54839,"CreateEvent",48,31,1.54839,0
"504","wssgcg1213/koa2-react-isomorphic-boilerplate",267,1,917,85,10.78824,"CreateEvent",917,85,10.78824,0
"505","DockYard/inquisitor",2,2,85,41,2.07317,"CreateEvent",85,41,2.07317,0
"506","gmarm/BetterSegmentedControl",5,1,461,280,1.64643,"DeleteEvent",461,280,1.64643,0
"507","durandalproject/aurelia",1,1,25,21,1.19048,"IssuesEvent",25,21,1.19048,0
"508","droolsjbpm/guvnor",1,1,799,63,12.68254,"MemberEvent",799,63,12.68254,0
"509","mxcl/OMGHTTPURLRQ",3,2,117,77,1.51948,"PullRequestEvent",117,77,1.51948,0
"510","monque/PHP-Migration",10,3,107,47,2.2766,"IssueCommentEvent",107,47,2.2766,0
"511","mac-cain13/xdebug-helper-for-chrome",29,10,112,54,2.07407,"IssueCommentEvent",112,54,2.07407,0
"512","noidontdig/gitdown",1,1,700,687,1.01892,"PullRequestReviewCommentEvent",700,687,1.01892,0
"513","247687009/soa",18,18,45,40,1.125,"ForkEvent",45,40,1.125,0
"514","circonus-labs/reconnoiter",3,3,602,26,23.15385,"ForkEvent",602,26,23.15385,0
"515","kylemanna/docker-bitcoind",25,1,142,40,3.55,"PushEvent",142,40,3.55,0
"516","247687009/soa",27,25,45,40,1.125,"WatchEvent",45,40,1.125,0
"517","adafruit/Adafruit_Sensor",3,3,96,89,1.07865,"IssuesEvent",96,89,1.07865,0
"518","engram-design/Comments",38,22,183,51,3.58824,"IssuesEvent",183,51,3.58824,0
"519","sarbian/ModuleManager",8,4,80,35,2.28571,"PullRequestEvent",80,35,2.28571,0
"520","Microsoft/TSJS-lib-generator",124,25,456,58,7.86207,"PullRequestEvent",456,58,7.86207,0
"521","wolkykim/qlibc",2,2,99,74,1.33784,"PullRequestEvent",99,74,1.33784,0
"522","getk2/k2",68,21,255,50,5.1,"IssueCommentEvent",255,50,5.1,0
"523","cakephp/acl",29,15,83,36,2.30556,"IssueCommentEvent",83,36,2.30556,0
"524","andyet/SimpleWebRTC",111,111,950,501,1.89621,"ForkEvent",950,501,1.89621,0
"525","mustafaflux/tg",45,41,45,41,1.09756,"ForkEvent",45,41,1.09756,0
"526","adafruit/Adafruit_Sensor",1,1,96,89,1.07865,"PushEvent",96,89,1.07865,0
"527","JBZoo/Utils",42,1,133,43,3.09302,"PushEvent",133,43,3.09302,0
"528","mcdonamp/flaming-specs",20,20,24,24,1,"WatchEvent",24,24,1,0
"529","manishiitg/excellence_magento_blog",18,17,58,53,1.09434,"WatchEvent",58,53,1.09434,0
"530","engram-design/Comments",22,21,183,51,3.58824,"WatchEvent",183,51,3.58824,0
"531","cakephp/acl",3,3,83,36,2.30556,"CreateEvent",83,36,2.30556,0
"532","clab/stack-lstm-ner",53,9,181,95,1.90526,"IssueCommentEvent",181,95,1.90526,0
"533","bingzhengwei/ftrl_proximal_lr",9,9,37,27,1.37037,"ForkEvent",37,27,1.37037,0
"534","circonus-labs/reconnoiter",133,8,602,26,23.15385,"PushEvent",602,26,23.15385,0
"535","iZettle/sdk-ios",15,15,252,55,4.58182,"WatchEvent",252,55,4.58182,0
"536","datejs/Datejs",187,186,254,236,1.07627,"WatchEvent",254,236,1.07627,0
"537","zzz40500/Tinker_imitator",2,1,964,867,1.11188,"CreateEvent",964,867,1.11188,0
"538","zhufengzhufeng/angularjs",1,1,31,28,1.10714,"CreateEvent",31,28,1.10714,0
"539","teamreflex/DiscordPHP",117,42,578,135,4.28148,"IssuesEvent",578,135,4.28148,0
"540","wix/detox",88,14,526,91,5.78022,"IssuesEvent",526,91,5.78022,0
"541","bluerobotics/ardusub",24,5,581,35,16.6,"IssuesEvent",581,35,16.6,0
"542","sourcefabric/Newscoop",12,7,92,30,3.06667,"IssuesEvent",92,30,3.06667,0
"543","symfony/symfony",1525,576,25651,3057,8.39091,"IssuesEvent",25651,3057,8.39091,0
"544","hjiang/jsonxx",5,2,48,31,1.54839,"PullRequestEvent",48,31,1.54839,0
"545","francoiscampbell/CLionArduinoPlugin",12,11,59,52,1.13462,"IssueCommentEvent",59,52,1.13462,0
"546","noidontdig/gitdown",6,6,700,687,1.01892,"IssueCommentEvent",700,687,1.01892,0
"547","hjiang/jsonxx",2,1,48,31,1.54839,"PullRequestReviewCommentEvent",48,31,1.54839,0
"548","baoyongzhang/ApkChannelBuilder",22,22,225,204,1.10294,"ForkEvent",225,204,1.10294,0
"549","wolkykim/qlibc",18,18,99,74,1.33784,"ForkEvent",99,74,1.33784,0
"550","symfony/symfony",822,782,25651,3057,8.39091,"ForkEvent",25651,3057,8.39091,0
"551","LibreOffice/core",41,39,8903,111,80.20721,"ForkEvent",8903,111,80.20721,0
"552","Stamplay/stamplay-stackoverflow",16,16,26,23,1.13043,"WatchEvent",26,23,1.13043,0
"553","tomzo/gocd-yaml-config-plugin",26,25,202,40,5.05,"WatchEvent",202,40,5.05,0
"554","hjiang/jsonxx",22,22,48,31,1.54839,"WatchEvent",48,31,1.54839,0
"555","jlafon/PynamoDB",20,1,867,169,5.13018,"CreateEvent",867,169,5.13018,0
"556","clab/stack-lstm-ner",21,10,181,95,1.90526,"IssuesEvent",181,95,1.90526,0
"557","docker-library/rails",14,4,79,49,1.61224,"IssuesEvent",79,49,1.61224,0
"558","zhufengzhufeng/angularjs",1,1,31,28,1.10714,"IssuesEvent",31,28,1.10714,0
"559","Stamplay/stamplay-stackoverflow",2,1,26,23,1.13043,"MemberEvent",26,23,1.13043,0
"560","Wurst-Imperium/Wurst-Client-for-MC-1.9.X",68,18,167,58,2.87931,"IssueCommentEvent",167,58,2.87931,0
"561","austinlyons/dcjs-leaflet-untappd",3,2,47,42,1.11905,"IssueCommentEvent",47,42,1.11905,0
"562","bogde/HX711",89,24,215,94,2.28723,"IssueCommentEvent",215,94,2.28723,0
"563","symfony/symfony",12097,1087,25651,3057,8.39091,"IssueCommentEvent",25651,3057,8.39091,0
"564","symfony/symfony",70,34,25651,3057,8.39091,"CommitCommentEvent",25651,3057,8.39091,0
"565","emc-advanced-dev/unik",56,3,1631,772,2.11269,"PullRequestReviewCommentEvent",1631,772,2.11269,0
"566","watson-developer-cloud/botkit-middleware",2,2,130,51,2.54902,"PullRequestReviewCommentEvent",130,51,2.54902,0
