"","repo_name","num_events","num_actors","total_events","total_actors","events_per_actor","type","num_repo_events","num_repo_actors","repo_events_per_actor","participation_rate"
"331","harfang3d/Tutorials-Python",1,1,5,3,1.66667,"CreateEvent",5,3,1.66667,0.3
"332","ericclemmons/reload-server-webpack-plugin",2,1,10,7,1.42857,"IssuesEvent",10,7,1.42857,0.1
"333","material-foundation/material-text-accessibility-ios",18,4,83,11,7.54545,"PullRequestEvent",83,11,7.54545,0.1
"334","yous/tweetdeck_image_extension",1,1,43,4,10.75,"IssueCommentEvent",43,4,10.75,0.3
"335","TAPP-TV/react-cropperjs",3,3,13,12,1.08333,"IssueCommentEvent",13,12,1.08333,0.1
"336","nathn123/PokerGame-API",1,1,67,4,16.75,"ForkEvent",67,4,16.75,0.3
"337","MattUebel/splunk_UF_hardening",1,1,24,10,2.4,"ForkEvent",24,10,2.4,0.1
"338","krautcomputing/middleman-sitemap-ping",2,1,16,5,3.2,"CreateEvent",16,5,3.2,0.2
"339","material-foundation/material-text-accessibility-ios",3,3,83,11,7.54545,"ForkEvent",83,11,7.54545,0.1
"340","sdgathman/pymilter",4,3,107,11,9.72727,"WatchEvent",107,11,9.72727,0.1
"341","material-foundation/material-text-accessibility-ios",7,2,83,11,7.54545,"CreateEvent",83,11,7.54545,0.1
"342","blundell/AndroidThingsTestingTut",7,1,13,5,2.6,"PushEvent",13,5,2.6,0.2
"343","MattUebel/splunk_UF_hardening",12,1,24,10,2.4,"PushEvent",24,10,2.4,0.1
"344","NeoTheThird/terminal-tennis",44,1,53,3,17.66667,"PushEvent",53,3,17.66667,0.3
"345","gorails-screencasts/gorails-97-braintree-paypal",2,2,3,3,1,"WatchEvent",3,3,1,0.3
"346","igogo/qt5noblink",4,4,4,4,1,"WatchEvent",4,4,1,0.3
"347","jordanterry/ValidatedInputs",2,2,26,3,8.66667,"WatchEvent",26,3,8.66667,0.3
"348","redooor/redminportal",1,1,36,8,4.5,"CreateEvent",36,8,4.5,0.1
"349","material-foundation/material-text-accessibility-ios",2,2,83,11,7.54545,"IssuesEvent",83,11,7.54545,0.1
"350","okoer/javascript",1,1,6,3,2,"MemberEvent",6,3,2,0.3
"351","projectorhq/android-sdk",4,3,36,3,12,"PullRequestEvent",36,3,12,0.3
"352","nuncostans/sexy-monochrome-theme",1,1,30,6,5,"ReleaseEvent",30,6,5,0.2
"353","htmlacademy-adaptive/182700-mishka",1,1,72,4,18,"ForkEvent",72,4,18,0.3
"354","projectorhq/android-sdk",2,1,36,3,12,"DeleteEvent",36,3,12,0.3
"355","jeokrohn/cisco_spark",2,1,10,3,3.33333,"CreateEvent",10,3,3.33333,0.3
"356","PolymerElements/iron-validatable-behavior",2,2,37,14,2.64286,"IssuesEvent",37,14,2.64286,0.1
"357","upyun/go-sdk",3,1,44,9,4.88889,"PushEvent",44,9,4.88889,0.1
"358","breandan/ml-exercises",4,1,8,3,2.66667,"PushEvent",8,3,2.66667,0.3
"359","cybrairai/sanghefte",6,1,13,3,4.33333,"PushEvent",13,3,4.33333,0.3
"360","handai-trema/hello-trema-shuya-abe",9,1,13,3,4.33333,"PushEvent",13,3,4.33333,0.3
"361","daattali/lightsout",10,1,14,3,4.66667,"PushEvent",14,3,4.66667,0.3
"362","deseretdigital-ui/ddm-selecty",25,4,242,6,40.33333,"CreateEvent",242,6,40.33333,0.2
"363","bvsf/sigcaw",54,3,194,6,32.33333,"IssuesEvent",194,6,32.33333,0.2
"364","redooor/redminportal",18,1,36,8,4.5,"PushEvent",36,8,4.5,0.1
"365","android-ia/frameworks-native",6,1,23,4,5.75,"PushEvent",23,4,5.75,0.3
"366","yonahforst/jbuilder_cache_multi",7,7,8,8,1,"WatchEvent",8,8,1,0.1
"367","reproio/wrapbox",2,2,7,3,2.33333,"WatchEvent",7,3,2.33333,0.3
"368","JorritPosthuma/MixCloud-Desktop",10,10,22,15,1.46667,"WatchEvent",22,15,1.46667,0.1
"369","rizo/elements",10,1,52,3,17.33333,"CreateEvent",52,3,17.33333,0.3
"370","karandesai-96/tardis",20,1,191,3,63.66667,"DeleteEvent",191,3,63.66667,0.3
"371","phiDelPark/aFox",45,1,295,3,98.33333,"ReleaseEvent",295,3,98.33333,0.3
"372","rizo/elements",6,2,52,3,17.33333,"PullRequestEvent",52,3,17.33333,0.3
"373","cybrairai/sanghefte",1,1,13,3,4.33333,"IssueCommentEvent",13,3,4.33333,0.3
"374","krautcomputing/middleman-sitemap-ping",2,2,16,5,3.2,"ForkEvent",16,5,3.2,0.2
"375","okoer/javascript",1,1,6,3,2,"PushEvent",6,3,2,0.3
"376","evepraisal/evepaste",5,4,6,5,1.2,"WatchEvent",6,5,1.2,0.2
"377","nuncostans/sexy-monochrome-theme",5,1,30,6,5,"CreateEvent",30,6,5,0.2
"378","shakalaca/ASUS_ZenFone_ZE550KL",1,1,3,3,1,"CreateEvent",3,3,1,0.3
"379","NeoTheThird/terminal-tennis",3,1,53,3,17.66667,"CreateEvent",53,3,17.66667,0.3
"380","blundell/AndroidThingsTestingTut",2,1,13,5,2.6,"CreateEvent",13,5,2.6,0.2
"381","yous/tweetdeck_image_extension",10,1,43,4,10.75,"ReleaseEvent",43,4,10.75,0.3
"382","sdgathman/pymilter",1,1,107,11,9.72727,"CommitCommentEvent",107,11,9.72727,0.1
"383","javedLive/get-test",2,2,10,3,3.33333,"PushEvent",10,3,3.33333,0.3
"384","jordanterry/ValidatedInputs",12,1,26,3,8.66667,"PushEvent",26,3,8.66667,0.3
"385","bvsf/sigcaw",9,5,194,6,32.33333,"WatchEvent",194,6,32.33333,0.2
"386","ElvenStudio/Odoo",2,1,85,5,17,"DeleteEvent",85,5,17,0.2
"387","SpringMCLegacy/SpringMCLegacy",25,2,244,5,48.8,"IssuesEvent",244,5,48.8,0.2
"388","santu14/team-rediit",2,1,6,3,2,"MemberEvent",6,3,2,0.3
"389","wso2/devstudio-tooling-bps",10,5,269,16,16.8125,"ReleaseEvent",269,16,16.8125,0.1
"390","ericclemmons/reload-server-webpack-plugin",1,1,10,7,1.42857,"IssueCommentEvent",10,7,1.42857,0.1
"391","cybrairai/sanghefte",1,1,13,3,4.33333,"ForkEvent",13,3,4.33333,0.3
"392","okoer/javascript",1,1,6,3,2,"WatchEvent",6,3,2,0.3
"393","salspaugh/lupe",3,3,3,3,1,"WatchEvent",3,3,1,0.3
"394","yukinami/spring-boot-webapp-boilerplate",5,4,8,6,1.33333,"WatchEvent",8,6,1.33333,0.2
"395","sdgathman/pymilter",1,1,107,11,9.72727,"DeleteEvent",107,11,9.72727,0.1
"396","javedLive/get-test",2,2,10,3,3.33333,"PullRequestEvent",10,3,3.33333,0.3
"397","android-ia/frameworks-native",6,2,23,4,5.75,"IssueCommentEvent",23,4,5.75,0.3
"398","android-ia/frameworks-native",1,1,23,4,5.75,"DeleteEvent",23,4,5.75,0.3
"399","jdittrich/figureAltCaption",1,1,4,4,1,"IssuesEvent",4,4,1,0.3
"400","jdittrich/figureAltCaption",1,1,4,4,1,"IssueCommentEvent",4,4,1,0.3
"401","jdittrich/figureAltCaption",1,1,4,4,1,"WatchEvent",4,4,1,0.3
"402","Soullivaneuh/composer-versions-check",1,1,17,17,1,"IssueCommentEvent",17,17,1,0.1
"403","handai-trema/hello-trema-shuya-abe",1,1,13,3,4.33333,"MemberEvent",13,3,4.33333,0.3
"404","tyao123/course-2016-fal-proj",3,1,90,4,22.5,"MemberEvent",90,4,22.5,0.3
"405","redooor/redminportal",5,5,36,8,4.5,"WatchEvent",36,8,4.5,0.1
"406","stefdeheus/Project4",9,3,70,5,14,"CreateEvent",70,5,14,0.2
"407","deseretdigital-ui/ddm-selecty",45,3,242,6,40.33333,"PullRequestEvent",242,6,40.33333,0.2
"408","htmlacademy-adaptive/182700-mishka",1,1,72,4,18,"MemberEvent",72,4,18,0.3
"409","cybrairai/sanghefte",1,1,13,3,4.33333,"MemberEvent",13,3,4.33333,0.3
"410","krautcomputing/middleman-sitemap-ping",3,2,16,5,3.2,"IssueCommentEvent",16,5,3.2,0.2
